Company/Brand,HeadQuarter,Sector,What it does,Amount($),Funding Year
myUpchar,Delhi,Hospitality,To bring health issues to people in their language.,5000000.0,2018
MissMalini Entertainment,Mumbai,Undisclosed,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",1520702.011027517,2018
Rooter,India,Commerce,Rooter is a mobile-based platform,657996.0624638294,2018
ZestMoney,Bangalore,Commerce,Zest is India's first completely automated consumer digital lending platform.,13400000.0,2018
alphaics Corporation,Bangalore,I.T & Engineering,Advancing AI compute,1.0,2018
MyDentistChoice,Hyderabad,Health,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,500000.0,2018
Sattviko,Delhi,Food/Culnary,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,1.0,2018
Sensibull,Bangalore,Financial,Investment Management Platform,365553.3680354608,2018
Bombay Shaving Company,Delhi,Commerce,Bombay Shaving Company is a Men's grooming startup,1.0,2018
MedCords,Pune,Health,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,386024.3566454466,2018
University Living,Delhi,Education,University Living is an online global student housing marketplace.,1.0,2018
&ME,Bangalore,Food/Culnary,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,1.0,2018
Enakshi,Ahmedabad,Commerce,Enakshi is an online apparel brand for women.,116977.07777134744,2018
Ultraviolette Automotive,Bangalore,Commerce,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,877.3280832851059,2018
Inthree Access,Chennai,Services,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,4000000.0,2018
BUGWORKS Research India,Bangalore,I.T & Engineering,BUGWORKS is a drug discovery company.,9000000.0,2018
Guardian.in,Mumbai,Health,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,1.0,2018
PrestLoans,Delhi,Financial,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",100000.0,2018
Wimoxez,Hyderabad,I.T & Engineering,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",20000.0,2018
India Accelerator,Gurgaon,Services,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,1.0,2018
HappyEMI,Bangalore,Commerce,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,1000000.0,2018
Wishup,Azadpur,Commerce,Premium Personal Assistance service,1.0,2018
Hansel.io,Bangalore,I.T & Engineering,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",4000000.0,2018
Propelld,Bangalore,Financial,Propelld is a student education financing platform.,250000.0,2018
PivotRoots,Mumbai,Health,Digital Marketing powered by Data & Technology; fueled by Design thinking,1.0,2018
ZiffyHomes,Delhi,Commerce,ZiffyHomes is a technology driven marketplace to find out home on rent.,120000.0,2018
Carmesi,Gurgaon,Health,Carmesi is a brand of high-end menstrual-hygiene products in India.,497152.5805282267,2018
OckyPocky,Haryana,I.T & Engineering,OckyPocky is a interactive and personalised language learning app for preschool kids.,1.0,2018
Racetrack,Bangalore,I.T & Engineering,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",5000770.074725104,2018
WHR,Pune,I.T & Engineering,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",143145.0,2018
Asteria Aerospace,Bangalore,I.T & Engineering,Asteria Aerospace is a robotics and artificial intelligence company.,1.0,2018
FabAlley,Noida,Commerce,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",8773280.83285106,2018
Tranzmeo,Cochin,I.T & Engineering,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,1.0,2018
SBI Life,Mumbai,Financial,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,742000000.0,2018
Studds Accessories,Faridabad,Commerce,Studds Accessories is a scooter accessories service provider in India,14622134.721418433,2018
Design Cafe,Bangalore,Services,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",29244269.442836866,2018
NoPaperForms Solutions Pvt. Ltd.,Delhi,I.T & Engineering,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",3980000.0,2018
Rays Power Infra,Jaipur,Commerce,Rays Power Infra is a leading integrated Solar Power Company.,29244269.442836866,2018
AuthMetrik,Gurgaon,Commerce,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",10000.0,2018
Khidki,Bangalore,I.T & Engineering,Vernacular Social Network Focused on Town Level Content and Interactions,1.0,2018
LetsTransport,Bangalore,Hospitality,Lets transport is a logistics solution provider.,14622134.721418433,2018
Next Digital Solutions,Kota,I.T & Engineering,Next Digital Solutions is website design & Digital Marketing development company.,1462.213472141843,2018
Portea Medical,Bangalore,Hospitality,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,3655533.680354608,2018
Aavas Financiers,Jaipur,Financial,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",29244269.442836866,2018
Swiggy,Bangalore,I.T & Engineering,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,1000000000.0,2018
Milkbasket,Haryana,Commerce,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",7000000.0,2018
Nutrisattva (Proliva),Anand,Food/Culnary,Nutrisattva is a protein innovation compan,1.0,2018
Toppr,Mumbai,I.T & Engineering,Toppr.com is an online preparation platform for entrance exams in India.,35000000.0,2018
Jagaran Microfin,Kolkata,Undisclosed,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,8042174.096780138,2018
Vivriti Capital,Chennai,Financial,Vivriti Capital is an online platform for institutional debt in India.,28500000.0,2018
Be U Salons,Delhi,Commerce,Be U is India's first subscription based Salon Chain.,438664.04164255294,2018
Impact Guru,Mumbai,I.T & Engineering,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2000000.0,2018
MobiKwik,Gurgaon,Commerce,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,3509312.3331404235,2018
Stones2Milestones,Gurgaon,Education,Stones2milestones is a Gurgaon Based Learning Company.,1.0,2018
Generico,Mumbai,Health,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,1.0,2018
Adiuvo Diagnostics,Chennai,Health,Adiuvo Diagnostics is a medical diagnostic device company based in India.,1.0,2018
DataTrained,Bangalore,I.T & Engineering,"DataTrained is a educational platform, which operates an ed-tech startup on data science",1754656.1665702118,2018
OneAssist,Mumbai,Financial,OneAssist is a protection & assistance services platform.,2400000.0,2018
Satin Creditcare Network Limited (SCNL),Delhi,Financial,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,30000000.0,2018
APAC Financial Services,Mumbai,Financial,APAC Financial Services is a financial services platform.,36555336.80354608,2018
Moglix,Noida,Commerce,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",23000000.0,2018
SEDEMAC Mechatronics,Mumbai,Commerce,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,1.0,2018
MadGuy Labs,Hyderabad,Education,MadGuy Labs is a Online Test-prep Platform.,150000.0,2018
Dee Dee Labs,Pune,Health,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,1.0,2018
FLEECA,Jaipur,Undisclosed,FLEECA is a Tyre Care Provider company.,1.0,2018
Shop101,Mumbai,Commerce,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,11000000.0,2018
FeedMyPockets,Bangalore,Health,On Demand Staffing Platform,643373.927742411,2018
Housejoy,Bangalore,I.T & Engineering,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,3240000.0,2018
Ambee,Bangalore,Health,Ambee is an Environment analytics startup.,1.0,2018
FoodBuddy,Belgaum,Food/Culnary,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",877328.0832851059,2018
Ninjacart,Bangalore,Commerce,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,36555336.80354608,2018
Olly Smart Credit Card,Delhi,Financial,Olly is a digital credit card for India's working masses and young people.,1.0,2018
Zestl,Pune,I.T & Engineering,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",1.0,2018
BYJU’S,Bangalore,I.T & Engineering,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,540000000.0,2018
Wakefit,Bangalore,Manufacturing,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,9504387.56892198,2018
Hero Electric,Delhi,Manufacturing,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",23395415.554269493,2018
Pentation Analytics,Mumbai,Financial,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,1.0,2018
PerkFinance,Bangalore,Commerce,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,900000.0,2018
Roposo,Gurgaon,I.T & Engineering,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,10000000.0,2018
Plum Goodness,Thane,Health,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,1.0,2018
Drstore,Mumbai,Hospitality,Drstore is a exclusive e- commerce platform.,1.0,2018
Wow Venue,Mumbai,Real Estate,Wow Venue is an online platform.,1500000.0,2018
Chizel,Pune,Manufacturing,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,1.0,2018
OTO Capital,Mumbai,Commerce,OTO Capital is a platform that allows you to own a car faster than ever.,731106.7360709216,2018
Boodmo,Gurgaon,Commerce,boodmo.com - large online marketplace for auto parts in India.,1023549.4304992902,2018
Khabri,Haryana,I.T & Engineering,Khabri is a digital audio platform for content in vernacular.,1.0,2018
MyNewCar.in,Gurgaon,Commerce,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,1000000.0,2018
HalaPlay Technologies,Bangalore,Commerce,A daily fantasy sports platform.,5000000.0,2018
PlanetSpark,Gurgaon,I.T & Engineering,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,233954.1555426949,2018
WheelsEMI,Pune,Undisclosed,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",14000000.0,2018
Forum for Innovation Incubation Research and Entrepreneurship,Margão,Services,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",1498768.8089453892,2018
OYO,Gurgaon,Hospitality,OYO is an Indian hospitality startup that operates a network of budget hotels.,100000000.0,2018
Quikr,Bangalore,Commerce,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",8042174.096780138,2018
Tabono,Gurgaon,Commerce,Tabono is a one stop environment for all your fitness solution.,1.0,2018
LearnApp,Noida,Financial,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",292442.69442836865,2018
Shopkirana,Indore,Commerce,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2000000.0,2018
Fric Bergen,Alwar,Undisclosed,Fric Bergen is a leader in the specialty food industry.,1.0,2018
Articbot,Kannur,I.T & Engineering,Articbot is a conversational AI platform for automated customer support and lead generation,17546.56166570212,2018
BuildSupply,Gurgaon,I.T & Engineering,India’s most advanced ERP system for the real estate,3655533.680354608,2018
Fusion Microfinance,Delhi,Financial,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,76035100.55137585,2018
Any time Doctor,Chennai,I.T & Engineering,Anytime Doctor is a Software company.,1.0,2018
Go Payments,Mumbai,I.T & Engineering,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,1.0,2018
Guiddoo World,Mumbai,I.T & Engineering,We build In-Destination Experiences!,800000.0,2018
ION Energy,Mumbai,Construction,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,1041000.0,2018
UnoTag,Bangalore,I.T & Engineering,SaaS to verify counterfeit,100000.0,2018
CivilCops,Gurgaon,I.T & Engineering,Gov-Tech,100000.0,2018
Rockmetric,Mumbai,I.T & Engineering,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",1.0,2018
Classworks India,Chennai,I.T & Engineering,"Saas, Web App, Mobile App, School Education",1462.213472141843,2018
Snapmint,Mumbai,Commerce,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",1.0,2018
artbandhu,Bangalore,I.T & Engineering,Ai platform for Art and Creative Community,15000.0,2018
Survaider,Bangalore,I.T & Engineering,Stethoscope for customer feedback !,500000.0,2018
Credy,Bangalore,Financial,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,1400000.0,2018
iChamp,Gurgaon,Education,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,5000000.0,2018
Qandle,Gurgaon,I.T & Engineering,A cloud-based HR management and employee engagement platform.,1200000.0,2018
Avishkaar Box,Delhi,Education,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",731106.7360709216,2018
Gegadyne Energy,Mumbai,Commerce,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,1.0,2018
HyperXchange,Pune,Commerce,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,1000000.0,2018
Deftouch,Bangalore,Undisclosed,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,1.0,2018
Doodhwala,Bangalore,Food/Culnary,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2200000.0,2018
DronaHQ,Mumbai,I.T & Engineering,DronaHQ is an enterprise mobile engagement platform.,500000.0,2018
FastFox,Gurgaon,Services,FastFox: Market Network for Home Rentals (India),1462213.4721418433,2018
BuyForexOnline,Bangalore,Hospitality,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2000000.0,2018
Colive.in,Bangalore,Commerce,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,1800000.0,2018
Agricxlab Private Limited,Thane,Agriculture,Online marketplace where farmers and traders can sell their produce to B2B buyers,500000.0,2018
Corefactors,Bangalore,Undisclosed,"Corefactors is a leading campaign management, business communication and analytics company.",1.0,2018
Fincash.com,Mumbai,Services,A startup in the personal finance space in India .,150000.0,2018
Pandorum Technologies,Bangalore,I.T & Engineering,Bengaluru based biotech startup.,3600000.0,2018
Shirsa Labs,Mumbai,I.T & Engineering,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,500000.0,2018
PetSutra,Gurgaon,Health,Gurugram-based Online petcare platform.,138910.2798534751,2018
Awaaz De,Ahmedabad,I.T & Engineering,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,1.0,2018
PinkBlue,Bangalore,Hospitality,PinkBlue.in - Super-efficient supply-chain for clinical supplies,300000.0,2018
Eduvanz,Mumbai,Financial,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",500000.0,2018
Rupeek,Bangalore,Financial,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,6830000.0,2018
Backpacker Panda Holidays Private Limited,Pune,Hospitality,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,1400000.0,2018
Shape (School Health and Physical Education),Pune,Education,Physical education start up,200000.0,2018
Placio,Noida,Real Estate,Placio is a student housing and a complete broker-free platform.,2000000.0,2018
Aviom India Housing Finance,Delhi,Financial,Delhi based housing finance company.,2193320.208212765,2018
GenRobotic,Trivandrum,Services,A Robotic Company.,1.0,2018
HeyHolidays,Bangalore,Hospitality,"HeyHolidays, a global player in online vacation rentals.",1000000.0,2018
Pratilipi,Bangalore,I.T & Engineering,Amazon's Kindle Direct Publishing for Indian Languages,4300000.0,2018
SectorQube,Ernakulam,Commerce,SectorQube develops smart kitchen devices that make food automatically.,1.0,2018
Food Memories,Ahmedabad,Food/Culnary,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,1.0,2018
ZAMROO,India,Commerce,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,1.0,2018
Silversparro Technologies Pvt. Ltd,Gurgaon,I.T & Engineering,Silversparro is a deep learning technology solution provider.,300000.0,2018
Creator’s Gurukul,Gurgaon,Services,A coworking space provider.,1.0,2018
Emflux Motors,Bangalore,Commerce,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,364846.0,2018
Tricog Health Services Pvt Ltd,Bangalore,Health,Predictive Healthcare Analytics Company,4000000.0,2018
Scapic,Bangalore,I.T & Engineering,Virtual/Augmented Reality Start Up .,500000.0,2018
6Degree,Mumbai,Commerce,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,400000.0,2018
Chrysalis (EZ Vidya),Chennai,Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,1.0,2018
Ekincare,Hyderabad,Health,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,1500000.0,2018
Streo,Gurgaon,Health,"Live stream music from nightclubs, bars & festivals!",1.0,2018
Groww,Kormangala,Financial,Groww offers a new way of investing money.,120000.0,2018
Cell Propulsion,Bangalore,Undisclosed,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,102354.94304992902,2018
Chezuba,Hyderabad,I.T & Engineering,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,20470.988609985805,2018
Ontrack Technologies Pvt. Ltd,Bangalore,Services,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,1.0,2018
Wealthtrust,Mumbai,Financial,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,500000.0,2018
Faclon Labs,Mumbai,I.T & Engineering,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,1.0,2018
Awign Enterprises,Bangalore,Services,Operations and manpower outsourcing startup,731106.7360709216,2018
CollPoll,Bangalore,Education,World-class Enterprise System for Education.,1.0,2018
Zyla Health,Delhi,Hospitality,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,1.0,2018
Hubhopper,Delhi,Commerce,Get your daily dose of interest as summaries from news and magazine stories .,500000.0,2018
Rubix108 Technologies,Pune,I.T & Engineering,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,1000000.0,2018
Workflexi,Bangalore,Services,"Be Smart, Work on Contract,Be Smart, Hire on Contract",146221.34721418432,2018
Streak,Bangalore,Financial,Algorithmic trading platform.,328998.0312319147,2018
Kuants,Gurgaon,Financial,Algorithmic trading platform.,73110.67360709216,2018
NiYO Solutions,Bangalore,Financial,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,13200000.0,2018
Hippo Video,Chennai,I.T & Engineering,A video recording and sharing software.,1.0,2018
Satvacart,Gurgaon,Commerce,Satvacart is a Gurgaon’s largest online supermarket,1.0,2018
Daaki,Bangalore,Health,Sports Nutrition startup,1.0,2018
Simulanis,Delhi,Services,A Delhi-based Augmented Reality and Virtual Reality technology development company.,500000.0,2018
MY CHIRAAG CAB,Jaipur,Hospitality,MY CHIRAAG CAB SERVICES PVT LTD,1000000.0,2018
WOTU,Bangalore,Food/Culnary,It operates a business-to-business e-commerce portal for food and beverages.,1.0,2018
Flathalt,Gurgaon,Undisclosed,FInd your Customized Home here.,50000.0,2018
True Elements,Pune,Food/Culnary,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,731106.7360709216,2018
Trendlyne Technologies,Bangalore,Financial,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,200000.0,2018
Planys Technologies,Chennai,I.T & Engineering,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2050023.287942864,2018
HealthPlix,Bangalore,Health,HealthPlix is a healthtech startup,3000000.0,2018
dishq,Bangalore,Undisclosed,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,400000.0,2018
Entropik Technology,Bangalore,I.T & Engineering,The boundaries between Human and Machines are shrinking fast.,1100000.0,2018
myHQ,Delhi,Services,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,500000.0,2018
Trell,Bangalore,Undisclosed,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,1250000.0,2018
Kidovators (by GyanLab),Bangalore,I.T & Engineering,Building future human capital through 21st Century Skills programs for K-12,180000.0,2018
Log 9 Materials,Uttar Pradesh,I.T & Engineering,Log 9 Materials is a nano-materials manufacturing and RnD startup,438664.04164255294,2018
VTION,Gurgaon,I.T & Engineering,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,280744.9866512339,2018
HousingMan.com,Bangalore,Undisclosed,"New Apartments, Flats for Sale in Bangalore",1506079.8763060984,2018
Steradian Semiconductors,Bangalore,Undisclosed,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,1.0,2018
RupeeCircle,Mumbai,Financial,RupeeCircle is a new age finance company.,584885.3888567373,2018
Wooden Street,Jaipur,Commerce,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,1000000.0,2018
The Ken,Bangalore,Health,The Ken is India’s first subscriptions-only business news site,1500000.0,2018
SaffronStays,Mumbai,Undisclosed,SaffronStays connects travellers to India's Incredible hosts.,2000000.0,2018
